uploads/img/3300/contactus/address.png;آدرس پستی;مشهد- ميدان سعدي - خيابان چمران - نبش چمران 5;
uploads/img/3300/contactus/phone.png;تلفن تماس;32299050 051 ; 32296800 051
uploads/img/3300/contactus/fax.png;نمابر;32296800 051;
uploads/img/3300/contactus/email.png;پست الکترونیک شرکت;info@3300.ir;
uploads/img/3300/contactus/sms.png;SMS Center;30003300;
uploads/img/3300/contactus/email.png;ارتباط با مدیرعامل;CEO@3300.ir;
uploads/img/3300/contactus/email.png;ارتباط با مدیر فروش;Commercial@3300.ir و4-32299050 051;
uploads/img/3300/contactus/email.png;ارتباط با مدیر اداری مالی;Financial@3300.ir و 32296800 051;
uploads/img/3300/contactus/clock.png;ساعات حضور;7:30 الي 14:30;
uploads/img/3300/contactus/map.png;موقعیت جغرافیایی;googleMap;
